,CYCLE_ACTIVITY.STALLS_L3_MISS,EXE_ACTIVITY.2_PORTS_UTIL,OFFCORE_REQUESTS.DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,cycles,instructions,timestamp,cumulative_instructions,interval_seconds,Actual_Slowdown,Local_Interval_Time,P,AOL,K_pred,AOL_Pred,ML_Pred,Heuristic_Pred
782,940403809.6408691,834351127.0133057,5368484.426347256,1165810751.6166992,1438161191.7486572,5590500166.719727,3859090942.074707,309.5511165966158,3859090942.074707,0.32023998970907996,0.10713953183688438,0.28924989172571713,0.16821461078547092,217.15826274826745,2.8448621735925275,0.47854738326917584,0.4290900362646554,0.00594098362163914
783,938795011.3815308,837009861.5098877,5376538.6544418335,1165863441.2636108,1438957370.4432373,5587447888.09668,3859090942.0751953,309.87118095421414,3859090942.0751953,0.3200643575983122,0.10549924717839602,0.28952019498450454,0.16801857130184777,216.84275259519086,2.844464785094091,0.47792290930992665,0.4290900362646554,0.005944341786965078
784,945606460.3359985,836868819.470459,5393997.301568985,1170340293.59021,1446146130.8480225,5601783013.396484,3859090942.0751953,310.19212531276764,3859090942.0751953,0.3209443585535041,0.1333288298270835,0.283187324020048,0.16880454992180366,216.97087116632147,2.8446262778154847,0.4801858585223785,0.4290900362646554,0.006097008181258858
785,940962122.2324829,833957734.7111816,5380543.55056715,1167332876.074524,1441539118.5551758,5590603380.328125,3859090942.074707,310.5123516652767,3859090942.074707,0.32022635250905296,0.1319672435144619,0.28289365645849784,0.16831137146009734,216.95445173963478,2.8446055908543313,0.47877946825975304,0.4290900362646554,0.006088114399144638
786,930717484.2000122,832092281.0769043,5337134.245461941,1156184285.060669,1428692277.7769775,5554300396.989258,3859090942.0751953,310.83048630976157,3859090942.0751953,0.3181346444848714,0.11903199464745406,0.28429450275467616,0.1675670053251915,216.6301674056165,2.8441964418041805,0.47659348030969184,0.4290900362646554,0.0060092396938211555
787,934329559.701416,830725992.0625,5334951.157571316,1158300620.6687012,1430661933.0925293,5546344384.686523,3859090942.074707,311.1482265996555,3859090942.074707,0.31774028989394765,0.11054987295622451,0.28611077956196596,0.16845862696177022,217.11550611383782,2.844808382298233,0.479232514051295,0.4290900362646554,0.005968649682547272
788,922239012.3217773,823256410.4262695,5264448.76778841,1143059672.05365,1407613365.1818848,5482739899.509766,3859090942.0751953,311.4622803227049,3859090942.0751953,0.3140537230493692,0.10590510571367698,0.2839789068942764,0.1682076898092938,217.12808357974546,2.844824207752819,0.47852130789965613,0.4296496152900467,0.00593398826362957
789,908708517.1968384,816566579.3170166,5183907.209181786,1127269834.0702515,1389863820.8847656,5412784251.151367,3859090942.0751953,311.77231070863826,3859090942.0751953,0.3100303859333735,0.09059997579126891,0.284275071350919,0.16788190236910785,217.45563502248274,2.845235762842415,0.47766359255460444,0.4296496152900467,0.005837115737332558
790,927029227.8588867,821796144.8657227,5276359.328962326,1148578671.08844,1418225863.4626465,5474643425.243164,3859090942.074707,312.0858969599666,3859090942.074707,0.3135862513283314,0.1190953613060453,0.2802140569704079,0.16933143510030726,217.68393687363306,2.8455219525524873,0.48183631583514114,0.4296496152900467,0.0060273208221705
791,935293852.4425659,826485287.2286377,5340151.590341568,1160198620.6327515,1426536626.0159912,5504397309.849609,3859090942.0751953,312.40123398752155,3859090942.0751953,0.3153370275549605,0.14277998547127024,0.2759385284691689,0.16991757676520627,217.25949179628861,2.844989451597052,0.4834137135379442,0.4296496152900467,0.006194711769113809
792,932463214.034729,825408854.7741699,5351331.6290512085,1158721364.7172241,1425415158.8393555,5491837550.083984,3859090942.074707,312.7157885959352,3859090942.074707,0.3145546084136299,0.1400526295631853,0.2759123572515705,0.16979074954984225,216.52953788675316,2.844069252526877,0.482896650158198,0.4296496152900467,0.006208269718054137
793,893636724.2139893,807845861.7370605,5130502.607499123,1109945746.8342285,1363905873.2956543,5318377023.760742,3859090942.0751953,313.0204135052801,3859090942.0751953,0.30462490934490916,0.1124808077615432,0.27382486710746434,0.16802808830993313,216.34249736309454,2.843832561200447,0.477843748732052,0.4314800791589003,0.005997453503103334
794,896879484.9493408,807750344.62854,5115760.66965723,1111980883.4423218,1365464983.871582,5314836462.463867,3859090942.0751953,313.3249002649383,3859090942.0751953,0.30448675965823213,0.09910547329897162,0.27703142878937115,0.16875015652571235,217.3637422168202,2.845120416431483,0.48011451560731266,0.4314800791589003,0.005911001089188627
795,927942152.6419067,822472333.022583,5279693.306556702,1149625810.749817,1416214603.07312,5453009027.858398,3859090942.074707,313.637239895193,3859090942.074707,0.3123396302546553,0.12167828121790229,0.2784574110818312,0.17017066135435036,217.74480902557903,2.8455981677196407,0.4842373221495788,0.4296496152900467,0.006069176631441979
796,899329455.4243774,811630745.5539551,5170158.484495163,1117911619.288269,1381414367.2753906,5333610223.380859,3859090942.0751953,313.9427431425561,3859090942.0751953,0.30550324736310586,0.10610620658369282,0.27619702840894433,0.16861551889975043,216.22385902497666,2.8436822379626787,0.47948895614008064,0.4307749195282771,0.0059919022096901545
